Company,Product Name,Product Category,Customer ID,Product ID,Date,Quantity,Total Cost (USD),State,Month,Year
Under Armour,Charged Assert 9,Apparel,9VTQT7LJ,PROD7272,2023-11-19,5,1091.91,Missouri,2023-11,2023
Puma,RS-X³ Puzzle,Equipment,EKIZLY88,PROD1322,2023-11-21,5,962.06,Illinois,2023-11,2023
Under Armour,Project Rock,Equipment,5MCX7TE7,PROD9290,2023-04-24,3,201.01,Nevada,2023-04,2023
Nike,ZoomX Vaporfly,Accessories,9RHEDLXH,PROD1654,2023-09-23,2,512.49,West Virginia,2023-09,2023
Nike,Air Max 270,Equipment,4M4A0J4I,PROD6985,2023-11-12,3,661.52,West Virginia,2023-11,2023
Nike,Pegasus 39,Equipment,29WVHDEL,PROD3215,2023-04-19,5,485.83,North Carolina,2023-04,2023
Puma,Ignite Flash,Accessories,03IRYI8U,PROD5736,2023-02-13,5,726.89,Tennessee,2023-02,2023
Adidas,Superstar,Footwear,YQGSEWOK,PROD5655,2023-12-13,3,210.47,South Carolina,2023-12,2023
Under Armour,HOVR Phantom 2,Footwear,QGKOT2DT,PROD4451,2023-01-23,5,1206.43,Massachusetts,2023-01,2023
Adidas,Gazelle,Equipment,A4GRNGDN,PROD7117,2023-05-24,3,704.04,Indiana,2023-05,2023
Under Armour,UA RUSH,Accessories,YT3KM6XW,PROD8344,2023-08-09,4,696.37,Florida,2023-08,2023
Under Armour,HOVR Phantom 2,Equipment,PBU6T8AJ,PROD3261,2023-06-17,1,171.78,Illinois,2023-06,2023
Under Armour,HOVR Phantom 2,Accessories,2QDZ2JET,PROD8872,2023-10-18,1,54.19,Arizona,2023-10,2023
Nike,Metcon 7,Accessories,0FCEQM7A,PROD5145,2023-06-20,3,482.38,Colorado,2023-06,2023
Adidas,Ultraboost 21,Equipment,WU1C5N87,PROD7894,2023-04-26,4,1061.7,Washington,2023-04,2023
Under Armour,Project Rock,Footwear,9OYI8WGT,PROD4496,2023-12-12,2,286.01,Alabama,2023-12,2023
Nike,Metcon 7,Footwear,U5ODF48B,PROD4636,2023-02-14,2,264.88,Louisiana,2023-02,2023
Adidas,Ultraboost 21,Footwear,45EGQHEG,PROD8669,2023-06-21,2,335.54,Connecticut,2023-06,2023
Nike,Pegasus 39,Footwear,D7JSGY12,PROD1611,2023-01-19,4,593.9,New Mexico,2023-01,2023
Adidas,Superstar,Footwear,PIOE5CY2,PROD2588,2023-08-23,5,1404.98,Tennessee,2023-08,2023
Nike,ZoomX Vaporfly,Apparel,T8IF3MBM,PROD9578,2023-02-28,2,115.37,Oregon,2023-02,2023
Nike,Air Max 270,Accessories,383KYWBQ,PROD6269,2023-05-09,2,423.78,Texas,2023-05,2023
Nike,Metcon 7,Equipment,2PYMHE6D,PROD2178,2023-07-01,3,433.13,Idaho,2023-07,2023
Puma,Cali Star Metallic,Apparel,R988X7XW,PROD2562,2023-07-02,2,375.95,Indiana,2023-07,2023
Puma,RS-X³ Puzzle,Apparel,25DOYVMN,PROD3931,2023-01-23,2,480.77,Indiana,2023-01,2023
Puma,RS-X³ Puzzle,Footwear,9B0YILTB,PROD8490,2023-08-20,4,869.34,Ohio,2023-08,2023
Adidas,Superstar,Apparel,JOTJ2A4D,PROD1369,2023-01-12,5,1057.75,Maine,2023-01,2023
Adidas,Ultraboost 21,Apparel,BJ7L0UHA,PROD2428,2023-11-14,2,474.92,Colorado,2023-11,2023
Puma,Cali Star Metallic,Equipment,XWSADULT,PROD4985,2023-01-03,2,289.16,Oregon,2023-01,2023
Nike,Air Max 270,Footwear,U96M5VMP,PROD4723,2023-09-03,2,506.02,Kentucky,2023-09,2023
Adidas,Gazelle,Equipment,YWAS2WGN,PROD2169,2023-05-02,4,523.54,Ohio,2023-05,2023
Nike,ZoomX Vaporfly,Apparel,KJNL3LT0,PROD3959,2023-07-15,4,798.69,Ohio,2023-07,2023
Nike,Air Max 270,Accessories,O2CQ5E3S,PROD6422,2023-12-28,5,780.75,Connecticut,2023-12,2023
Puma,Cali Star Metallic,Equipment,TQ5UEJ8A,PROD6927,2023-11-01,2,454.13,Idaho,2023-11,2023
Nike,Metcon 7,Footwear,G9V324XK,PROD2792,2023-03-25,4,887.74,Virginia,2023-03,2023
Nike,Pegasus 39,Apparel,GJSPD676,PROD7758,2023-04-10,4,213.41,Kentucky,2023-04,2023
Adidas,Ultraboost 21,Apparel,T8QT4LOG,PROD1282,2023-10-03,1,51.53,Georgia,2023-10,2023
Nike,Pegasus 39,Equipment,ABP9OMKR,PROD5695,2023-08-23,1,267.27,Vermont,2023-08,2023
Adidas,Gazelle,Equipment,98430CWC,PROD7301,2023-08-25,5,593.74,North Dakota,2023-08,2023
Adidas,Superstar,Accessories,75MRJCC8,PROD9246,2023-07-14,3,367.01,Virginia,2023-07,2023
Under Armour,Project Rock,Accessories,D4LK2EUW,PROD4961,2023-10-01,1,210.18,New Jersey,2023-10,2023
Puma,RS-X³ Puzzle,Apparel,ZX2EVDLP,PROD2779,2023-12-25,2,461.78,Illinois,2023-12,2023
Nike,Air Max 270,Equipment,HZVO7FJA,PROD9832,2023-02-20,4,774.55,Tennessee,2023-02,2023
Nike,ZoomX Vaporfly,Footwear,H8FL8H2Z,PROD6127,2023-11-16,4,635.42,Wyoming,2023-11,2023
Adidas,Ultraboost 21,Apparel,Y0JCY56X,PROD1462,2023-03-17,3,325.3,Indiana,2023-03,2023
Adidas,Ultraboost 21,Equipment,2YXE78JI,PROD5511,2023-06-25,4,961.67,Texas,2023-06,2023
Nike,Pegasus 39,Apparel,PQYFZQ5M,PROD6862,2023-01-12,3,481.83,West Virginia,2023-01,2023
Nike,Air Max 270,Apparel,09YTHH1G,PROD4255,2023-11-04,1,218.38,Maine,2023-11,2023
Adidas,NMD_R1,Footwear,035R9ZUB,PROD7818,2023-09-19,2,206.29,New Jersey,2023-09,2023
Nike,ZoomX Vaporfly,Apparel,XMM1P3ZO,PROD3906,2023-04-23,3,520.7,Michigan,2023-04,2023
Puma,Cali Star Metallic,Footwear,C0AUNT4R,PROD4973,2023-10-28,5,609.78,Nevada,2023-10,2023
Adidas,Superstar,Footwear,32SPZWC8,PROD7841,2023-11-15,2,364.82,New Hampshire,2023-11,2023
Adidas,Superstar,Equipment,2MRFBJC7,PROD1659,2023-12-16,3,169.41,Wyoming,2023-12,2023
Nike,ZoomX Vaporfly,Apparel,MUJGQ6FG,PROD7669,2023-06-05,4,442.46,Idaho,2023-06,2023
Adidas,NMD_R1,Equipment,XQU6X532,PROD7872,2023-02-09,2,422.4,Florida,2023-02,2023
Adidas,Gazelle,Accessories,U0THVKQ1,PROD8156,2023-09-25,5,953.94,New Mexico,2023-09,2023
Under Armour,Project Rock,Accessories,E0S0UAZC,PROD3682,2023-01-15,5,1303.39,Illinois,2023-01,2023
Nike,Pegasus 39,Apparel,2WY5JDQ6,PROD5516,2023-07-01,1,267.49,Vermont,2023-07,2023
Nike,ZoomX Vaporfly,Equipment,42WH2W5H,PROD7637,2023-04-03,4,279.71,Wyoming,2023-04,2023
Puma,Suede Classic,Apparel,X56GA63R,PROD5971,2023-11-11,4,1157.51,Montana,2023-11,2023
Nike,Metcon 7,Apparel,X0XJZYLL,PROD4471,2023-10-27,5,821.81,Maine,2023-10,2023
Adidas,NMD_R1,Equipment,LPH4JU43,PROD3386,2023-03-21,5,1413.1,New Mexico,2023-03,2023
Adidas,Superstar,Apparel,3N8SH70L,PROD1880,2023-04-04,2,208.79,Texas,2023-04,2023
Adidas,Gazelle,Apparel,ZE3N3SOJ,PROD1216,2023-03-13,3,160.95,Mississippi,2023-03,2023
Adidas,NMD_R1,Equipment,FR29O3ZE,PROD2124,2023-01-09,4,276.13,West Virginia,2023-01,2023
Nike,Pegasus 39,Equipment,MT9KDYFY,PROD8171,2023-05-02,5,790.0,Wyoming,2023-05,2023
Puma,Suede Classic,Apparel,X8LQKICD,PROD2443,2023-06-17,4,565.45,New Mexico,2023-06,2023
Adidas,Ultraboost 21,Footwear,10UYJ9Z0,PROD6564,2023-08-03,2,472.61,North Dakota,2023-08,2023
Puma,Suede Classic,Accessories,MNMNL8FY,PROD9824,2023-09-24,5,1390.74,Maine,2023-09,2023
Under Armour,Project Rock,Footwear,6OHNVIF7,PROD7301,2023-02-15,5,789.3,Montana,2023-02,2023
Puma,Ignite Flash,Footwear,VHPKFIWS,PROD2386,2023-03-24,3,610.76,Louisiana,2023-03,2023
Puma,Ignite Flash,Accessories,8A6IH1NS,PROD3873,2023-08-21,1,207.7,Iowa,2023-08,2023
Adidas,Gazelle,Accessories,BQWD7L4N,PROD9584,2023-09-18,5,815.21,Colorado,2023-09,2023
Adidas,NMD_R1,Footwear,VU07ZQCK,PROD4495,2023-12-20,1,290.74,Florida,2023-12,2023
Nike,Metcon 7,Footwear,LZ7EUVTV,PROD1845,2023-10-18,1,156.76,Kansas,2023-10,2023
Nike,Metcon 7,Accessories,441K9U5X,PROD4140,2023-04-13,3,830.76,New Jersey,2023-04,2023
Nike,Air Max 270,Apparel,MY3OMXLJ,PROD4150,2023-02-19,1,165.37,South Carolina,2023-02,2023
Adidas,NMD_R1,Equipment,WFAWTBFO,PROD3191,2023-08-24,5,491.69,New Hampshire,2023-08,2023
Adidas,Gazelle,Footwear,R1KGJBEL,PROD6986,2023-07-06,3,435.33,Michigan,2023-07,2023
Adidas,Gazelle,Apparel,GHHEUY9A,PROD2889,2023-10-25,3,601.01,Louisiana,2023-10,2023
Nike,Pegasus 39,Equipment,DPQG27IL,PROD2937,2023-09-14,4,750.36,Oregon,2023-09,2023
Under Armour,UA RUSH,Accessories,DDMCP11Q,PROD5188,2023-03-19,3,397.68,New Mexico,2023-03,2023
Under Armour,Charged Assert 9,Equipment,65JAJBY4,PROD7659,2023-07-17,4,632.5,New Hampshire,2023-07,2023
Nike,Air Max 270,Accessories,9CAIC688,PROD9260,2023-06-26,3,444.87,Colorado,2023-06,2023
Nike,Metcon 7,Footwear,PBWMOL7U,PROD2744,2023-09-21,3,234.0,Connecticut,2023-09,2023
Under Armour,UA RUSH,Apparel,GEAAG3S2,PROD6638,2023-10-24,4,1081.83,Illinois,2023-10,2023
Adidas,Gazelle,Footwear,XKW7A08V,PROD7246,2023-11-02,5,250.61,South Dakota,2023-11,2023
Adidas,Superstar,Footwear,CN6ZHPKY,PROD7727,2023-02-20,2,103.37,New Hampshire,2023-02,2023
Adidas,Gazelle,Accessories,IC5LXRKE,PROD1666,2023-09-17,3,520.14,Tennessee,2023-09,2023
Puma,Suede Classic,Footwear,ZZMJYYO7,PROD6705,2023-04-09,1,120.99,Michigan,2023-04,2023
Adidas,Gazelle,Equipment,AK3ZUIMU,PROD7745,2023-12-09,1,200.97,Nebraska,2023-12,2023
Nike,Air Max 270,Equipment,M94FSWP2,PROD6878,2023-08-12,5,865.78,New Jersey,2023-08,2023
Nike,ZoomX Vaporfly,Apparel,IWBEJZJW,PROD2690,2023-12-10,3,276.23,Georgia,2023-12,2023
Puma,Suede Classic,Footwear,KB35VJF2,PROD5783,2023-01-25,2,104.22,West Virginia,2023-01,2023
Puma,Ignite Flash,Apparel,GZA6NKY9,PROD3258,2023-05-11,3,547.99,Nebraska,2023-05,2023
Nike,Air Max 270,Accessories,KS22GEO7,PROD3717,2023-07-02,2,180.98,Alabama,2023-07,2023
Adidas,Gazelle,Equipment,WR9XWNVV,PROD1085,2023-04-20,5,1043.48,South Dakota,2023-04,2023
Nike,Air Max 270,Accessories,K5U48YSE,PROD3358,2023-12-24,5,350.59,Massachusetts,2023-12,2023
Under Armour,Project Rock,Footwear,NZ94N5I0,PROD5593,2023-09-28,1,163.65,Colorado,2023-09,2023
Nike,Metcon 7,Footwear,HP7JKK17,PROD5642,2023-08-12,2,158.67,Connecticut,2023-08,2023
Adidas,NMD_R1,Equipment,YY4A32U0,PROD6691,2023-04-22,1,267.41,Ohio,2023-04,2023
Nike,ZoomX Vaporfly,Footwear,0K2Z39RA,PROD8550,2023-06-11,3,886.03,Illinois,2023-06,2023
Nike,Metcon 7,Apparel,60PR25Z5,PROD7267,2023-01-14,4,892.83,Nevada,2023-01,2023
Adidas,NMD_R1,Footwear,YGEKIXL6,PROD6038,2023-12-16,2,209.56,Tennessee,2023-12,2023
Puma,RS-X³ Puzzle,Equipment,BWTJGGDY,PROD2081,2023-08-24,3,278.79,Maine,2023-08,2023
Adidas,Gazelle,Equipment,PEAPV1PG,PROD5950,2023-10-12,1,204.27,Tennessee,2023-10,2023
Puma,Cali Star Metallic,Apparel,QF54IIS1,PROD2878,2023-12-02,2,264.84,Colorado,2023-12,2023
Under Armour,UA RUSH,Footwear,T5PS6KTM,PROD1019,2023-04-23,3,435.4,South Carolina,2023-04,2023
Puma,Suede Classic,Footwear,V5DAKOH1,PROD3939,2023-07-21,4,228.88,Virginia,2023-07,2023
Under Armour,HOVR Phantom 2,Footwear,Z8D0FYSJ,PROD6355,2023-06-23,4,574.0,Kentucky,2023-06,2023
Puma,Suede Classic,Accessories,8D7N3Q2X,PROD3413,2023-09-04,2,285.66,Utah,2023-09,2023
Adidas,Gazelle,Equipment,4VDI6L0T,PROD9949,2023-10-26,5,891.38,Ohio,2023-10,2023
Under Armour,UA RUSH,Accessories,SPWSDGB2,PROD1357,2023-12-19,4,1059.32,Montana,2023-12,2023
Adidas,Gazelle,Accessories,PYRMM3G7,PROD4326,2023-11-03,1,153.63,Arizona,2023-11,2023
Under Armour,HOVR Phantom 2,Equipment,PXCS7GUC,PROD1209,2023-02-25,4,374.44,Arkansas,2023-02,2023
Nike,ZoomX Vaporfly,Equipment,IKR03G7S,PROD7797,2023-02-18,1,296.21,South Carolina,2023-02,2023
Nike,ZoomX Vaporfly,Apparel,T58TUTSR,PROD4338,2023-12-01,4,926.46,Alabama,2023-12,2023
Adidas,Superstar,Accessories,6KHV8AD2,PROD5147,2023-07-25,4,401.19,South Carolina,2023-07,2023
Under Armour,UA RUSH,Apparel,JHEYHCQK,PROD6610,2023-05-08,5,1366.34,Tennessee,2023-05,2023
Puma,Ignite Flash,Accessories,F3P8D73V,PROD4684,2023-08-09,3,727.08,Missouri,2023-08,2023
Puma,RS-X³ Puzzle,Footwear,HYXVBKNY,PROD4579,2023-11-02,4,991.1,North Carolina,2023-11,2023
Puma,RS-X³ Puzzle,Apparel,B8D9TFZ6,PROD6017,2023-12-22,4,1080.12,Illinois,2023-12,2023
Puma,Suede Classic,Footwear,39XJNXGK,PROD7840,2023-02-17,3,359.52,South Carolina,2023-02,2023
Nike,Pegasus 39,Footwear,L82I93KZ,PROD2593,2023-04-20,3,763.07,Arkansas,2023-04,2023
Adidas,Gazelle,Apparel,PE659PNP,PROD1025,2023-02-21,1,74.59,Louisiana,2023-02,2023
Adidas,Ultraboost 21,Equipment,N0O8Z7OY,PROD9299,2023-11-07,4,503.51,Colorado,2023-11,2023
Nike,Pegasus 39,Apparel,7WTD7AT4,PROD8144,2023-09-23,4,553.24,South Dakota,2023-09,2023
Puma,Suede Classic,Apparel,H5WR8G55,PROD6369,2023-09-03,4,529.35,Arizona,2023-09,2023
Nike,ZoomX Vaporfly,Footwear,OLAK77Z7,PROD9650,2023-08-24,5,626.06,Georgia,2023-08,2023
Nike,Pegasus 39,Accessories,5AT76BX2,PROD7524,2023-10-13,3,352.78,Kansas,2023-10,2023
Under Armour,UA RUSH,Accessories,ZKY2L9W9,PROD8979,2023-03-06,5,1148.71,North Carolina,2023-03,2023
Puma,Ignite Flash,Footwear,2S7W90IU,PROD4504,2023-10-09,1,267.66,North Carolina,2023-10,2023
Nike,Metcon 7,Footwear,GSJPLUHO,PROD7017,2023-02-09,3,703.36,Illinois,2023-02,2023
Puma,Suede Classic,Equipment,3IHPYNGF,PROD5394,2023-02-18,3,694.5,North Carolina,2023-02,2023
Adidas,Ultraboost 21,Equipment,NCJ24VOS,PROD3031,2023-07-18,2,509.26,North Dakota,2023-07,2023
Puma,Ignite Flash,Equipment,2HQLZPKS,PROD6028,2023-04-10,2,349.71,Oklahoma,2023-04,2023
Under Armour,Charged Assert 9,Equipment,H8WN286Q,PROD9404,2023-11-04,2,554.41,Minnesota,2023-11,2023
Adidas,Ultraboost 21,Footwear,141ZIGA6,PROD8469,2023-11-20,2,431.64,New Jersey,2023-11,2023
Nike,Metcon 7,Apparel,NE4VITEW,PROD1542,2023-11-04,1,293.47,Arkansas,2023-11,2023
Under Armour,HOVR Phantom 2,Footwear,JEQEDWCG,PROD1705,2023-06-16,2,439.3,Virginia,2023-06,2023
Puma,Ignite Flash,Accessories,N8L16GU5,PROD4634,2023-03-08,4,772.64,Pennsylvania,2023-03,2023
Adidas,Ultraboost 21,Apparel,WV5Q2QCG,PROD5681,2023-12-17,5,575.23,Arizona,2023-12,2023
Adidas,Superstar,Equipment,TTKQRFCU,PROD4750,2023-02-05,2,530.42,Washington,2023-02,2023
Puma,RS-X³ Puzzle,Apparel,WXY6FDPO,PROD1384,2023-03-18,3,762.67,Mississippi,2023-03,2023
Puma,Ignite Flash,Accessories,G6IN8MSZ,PROD9255,2023-11-26,1,196.43,Arizona,2023-11,2023
Adidas,NMD_R1,Equipment,BHK8GC5E,PROD4504,2023-01-02,5,762.68,Illinois,2023-01,2023
Under Armour,HOVR Phantom 2,Equipment,RUH814YH,PROD8118,2023-07-17,4,337.14,Louisiana,2023-07,2023
Adidas,NMD_R1,Apparel,A5YNOBOY,PROD2436,2023-09-01,1,103.27,Illinois,2023-09,2023
Nike,Pegasus 39,Equipment,3Z7I2403,PROD9196,2023-01-14,3,869.01,New Hampshire,2023-01,2023
Under Armour,Charged Assert 9,Footwear,UVPHDG8U,PROD4052,2023-10-12,4,775.8,Michigan,2023-10,2023
Nike,ZoomX Vaporfly,Accessories,B3BOWMLI,PROD2972,2023-02-17,2,204.67,Louisiana,2023-02,2023
Under Armour,HOVR Phantom 2,Apparel,8LCTBJ5B,PROD6009,2023-05-14,3,856.24,Louisiana,2023-05,2023
Puma,Cali Star Metallic,Equipment,I4MKDKMT,PROD1249,2023-05-01,4,331.87,California,2023-05,2023
Nike,Air Max 270,Equipment,YPB9DHFD,PROD6438,2023-11-11,5,853.04,Maine,2023-11,2023
Adidas,Gazelle,Equipment,92MXOV1N,PROD6925,2023-04-20,2,488.45,Kansas,2023-04,2023
Adidas,Gazelle,Apparel,TDTI3DI4,PROD3376,2023-08-25,2,307.61,Maine,2023-08,2023
Nike,Metcon 7,Equipment,T4I5AIQJ,PROD6102,2023-09-07,2,356.83,Arizona,2023-09,2023
Puma,Ignite Flash,Accessories,IO76JO3Y,PROD6144,2023-04-24,1,214.32,Alabama,2023-04,2023
Adidas,NMD_R1,Accessories,GRR23ISU,PROD2843,2023-08-02,1,247.61,Montana,2023-08,2023
Nike,Air Max 270,Equipment,KME0HVC4,PROD6919,2023-02-27,3,571.17,Maryland,2023-02,2023
Adidas,Gazelle,Accessories,VCOIOTLE,PROD8633,2023-05-20,4,541.95,Wisconsin,2023-05,2023
Adidas,NMD_R1,Apparel,LPPIP5B2,PROD1770,2023-08-25,2,594.1,New Mexico,2023-08,2023
Under Armour,UA RUSH,Footwear,PAJUUF8G,PROD1781,2023-02-15,3,156.65,North Carolina,2023-02,2023
Under Armour,Charged Assert 9,Footwear,NTZX7F1D,PROD1184,2023-03-11,4,1033.29,Indiana,2023-03,2023
Under Armour,HOVR Phantom 2,Footwear,HZCYVKXF,PROD8078,2023-10-15,3,341.6,Louisiana,2023-10,2023
Adidas,NMD_R1,Accessories,JTCVW9KW,PROD5846,2023-02-28,5,423.45,Arizona,2023-02,2023
Under Armour,Charged Assert 9,Footwear,O2G895L2,PROD4277,2023-12-21,1,57.1,Colorado,2023-12,2023
Under Armour,Charged Assert 9,Footwear,KMZ4KP8L,PROD7739,2023-09-21,3,805.57,Mississippi,2023-09,2023
Adidas,Superstar,Accessories,F07FOBYA,PROD8506,2023-07-04,5,514.03,Georgia,2023-07,2023
Under Armour,UA RUSH,Footwear,381B4ZZ0,PROD7860,2023-09-01,1,184.98,Texas,2023-09,2023
Under Armour,Project Rock,Footwear,SI3N6XYD,PROD6550,2023-05-01,3,826.41,New Jersey,2023-05,2023
Puma,Suede Classic,Equipment,3LFPGAH4,PROD7475,2023-07-16,3,224.98,Delaware,2023-07,2023
Nike,Metcon 7,Accessories,B9MAH69N,PROD1574,2023-08-15,2,377.83,Nevada,2023-08,2023
Under Armour,UA RUSH,Accessories,QECRHM1G,PROD4752,2023-07-02,3,404.03,Nevada,2023-07,2023
Adidas,NMD_R1,Apparel,L88M2W77,PROD8531,2023-05-05,1,255.31,Texas,2023-05,2023
Puma,Suede Classic,Equipment,CML4X7N9,PROD9172,2023-09-27,1,126.86,Florida,2023-09,2023
Puma,Cali Star Metallic,Equipment,8P7JY5JH,PROD6696,2023-05-15,2,257.91,Maryland,2023-05,2023
Under Armour,UA RUSH,Accessories,Y0YMHASJ,PROD9601,2023-04-28,2,129.59,Kentucky,2023-04,2023
Adidas,Ultraboost 21,Equipment,60LL7XT3,PROD3795,2023-08-11,2,340.12,Mississippi,2023-08,2023
Under Armour,HOVR Phantom 2,Apparel,8OJKKOCH,PROD8511,2023-07-08,2,252.73,Nevada,2023-07,2023
Adidas,Ultraboost 21,Apparel,0CXLTZHO,PROD3849,2023-08-04,4,402.54,Illinois,2023-08,2023
Nike,Air Max 270,Accessories,TRA6RIOC,PROD7528,2023-11-08,1,54.23,Massachusetts,2023-11,2023
Puma,Suede Classic,Equipment,1489ODP9,PROD4333,2023-12-04,2,172.64,Oklahoma,2023-12,2023
Puma,Suede Classic,Equipment,17A743MJ,PROD9368,2023-08-23,5,438.4,Ohio,2023-08,2023
Puma,Suede Classic,Footwear,T7SF2W87,PROD7525,2023-09-21,5,1325.25,New Hampshire,2023-09,2023
Under Armour,Charged Assert 9,Footwear,82IGHL9M,PROD7083,2023-12-03,5,1253.7,Florida,2023-12,2023
Puma,RS-X³ Puzzle,Accessories,SGUJM93K,PROD1652,2023-06-23,1,91.61,Indiana,2023-06,2023
Under Armour,UA RUSH,Footwear,Q4NH1VZ6,PROD7640,2023-03-10,3,268.97,Oklahoma,2023-03,2023
Puma,Suede Classic,Apparel,VDX6PBPH,PROD5468,2023-08-01,4,411.18,New Mexico,2023-08,2023
Under Armour,Charged Assert 9,Apparel,0N5J3JA4,PROD6818,2023-03-13,1,140.1,Minnesota,2023-03,2023
Adidas,NMD_R1,Accessories,T8FA5POE,PROD4870,2023-02-22,5,298.08,Florida,2023-02,2023
Puma,RS-X³ Puzzle,Apparel,FZFK4N2B,PROD6917,2023-04-22,2,562.03,New Jersey,2023-04,2023
Under Armour,HOVR Phantom 2,Apparel,TJT4LVOE,PROD7432,2023-01-18,3,638.33,New Hampshire,2023-01,2023
Puma,Ignite Flash,Equipment,7NW5GDKD,PROD5773,2023-09-21,4,788.25,Ohio,2023-09,2023
Nike,ZoomX Vaporfly,Apparel,9SVK6SI2,PROD7802,2023-07-25,5,1312.8,Arkansas,2023-07,2023
Adidas,Gazelle,Equipment,5UJ765NZ,PROD7223,2023-09-12,3,371.04,Kentucky,2023-09,2023
Puma,Cali Star Metallic,Footwear,GOHHM8W2,PROD9298,2023-03-09,1,277.35,Arizona,2023-03,2023
Under Armour,Project Rock,Footwear,AI83W6GK,PROD3191,2023-08-26,4,682.53,Arizona,2023-08,2023
Adidas,NMD_R1,Equipment,KZLLCZVC,PROD1737,2023-12-27,3,795.34,Kansas,2023-12,2023
Puma,Suede Classic,Accessories,BMA5IWEV,PROD7530,2023-12-26,1,119.91,Illinois,2023-12,2023
Nike,Air Max 270,Accessories,0S23FJPQ,PROD4958,2023-04-15,2,430.04,Vermont,2023-04,2023
Nike,ZoomX Vaporfly,Equipment,02V4EGZN,PROD3797,2023-10-22,3,328.46,South Carolina,2023-10,2023
Nike,ZoomX Vaporfly,Apparel,1PUGLYE9,PROD5661,2023-03-09,5,1378.34,Nevada,2023-03,2023
Under Armour,Charged Assert 9,Footwear,404AFS9T,PROD9793,2023-12-22,2,120.71,Michigan,2023-12,2023
Nike,Air Max 270,Footwear,4WI9BVSC,PROD1000,2023-12-03,1,99.86,California,2023-12,2023
Under Armour,Project Rock,Equipment,ELS22P7O,PROD8606,2023-12-09,3,337.13,Rhode Island,2023-12,2023
Adidas,Gazelle,Equipment,QW9T1FYW,PROD8527,2023-12-24,1,279.98,Pennsylvania,2023-12,2023
Adidas,Gazelle,Footwear,FCDDVMS6,PROD3680,2023-12-09,2,211.25,Maryland,2023-12,2023
Nike,Pegasus 39,Apparel,E64NG4PN,PROD6833,2023-03-18,4,931.66,Massachusetts,2023-03,2023
Nike,Metcon 7,Apparel,9D34793I,PROD2588,2023-09-01,2,281.48,Iowa,2023-09,2023
Nike,Metcon 7,Footwear,N81FXVGB,PROD7162,2023-04-26,2,203.13,New Hampshire,2023-04,2023
Puma,RS-X³ Puzzle,Equipment,J8P9FR0S,PROD9078,2023-08-21,4,670.57,Iowa,2023-08,2023
Nike,Pegasus 39,Accessories,1OTAIGY4,PROD4700,2023-04-14,1,148.26,Minnesota,2023-04,2023
Puma,Suede Classic,Footwear,DTLR313L,PROD8402,2023-04-04,2,134.76,Florida,2023-04,2023
Nike,ZoomX Vaporfly,Equipment,YQPL5D4X,PROD6937,2023-03-06,1,61.71,California,2023-03,2023
Nike,ZoomX Vaporfly,Apparel,KEJF63I6,PROD4012,2023-07-17,3,210.39,Utah,2023-07,2023
Adidas,NMD_R1,Equipment,PMX0B70F,PROD5682,2023-08-19,5,995.92,South Dakota,2023-08,2023
Puma,Suede Classic,Apparel,M86YDVGL,PROD2119,2023-11-01,5,1499.15,Montana,2023-11,2023
Puma,Cali Star Metallic,Equipment,PNJMDOF4,PROD2750,2023-06-12,1,237.77,Minnesota,2023-06,2023
Under Armour,Charged Assert 9,Footwear,PNMQZ19R,PROD3575,2023-01-13,1,134.61,Kentucky,2023-01,2023
Under Armour,HOVR Phantom 2,Equipment,5QGU2801,PROD4178,2023-12-07,5,1365.05,Utah,2023-12,2023
Puma,RS-X³ Puzzle,Accessories,JGKSJWUA,PROD7215,2023-02-17,2,528.69,Louisiana,2023-02,2023
Under Armour,Charged Assert 9,Equipment,682L6CRS,PROD4982,2023-05-02,1,199.56,Maine,2023-05,2023
Puma,Cali Star Metallic,Accessories,HFT6VI20,PROD6867,2023-07-16,5,1317.32,Missouri,2023-07,2023
Puma,RS-X³ Puzzle,Footwear,UNQBHMVU,PROD7156,2023-08-01,2,110.78,Arkansas,2023-08,2023
Nike,Pegasus 39,Apparel,MFMN8Q3M,PROD3980,2023-06-13,1,103.88,Vermont,2023-06,2023
Puma,Cali Star Metallic,Equipment,UKAIB0QD,PROD4353,2023-09-24,4,822.11,Kansas,2023-09,2023
Nike,Metcon 7,Footwear,7SIU278D,PROD5255,2023-08-01,1,171.64,Mississippi,2023-08,2023
Adidas,NMD_R1,Apparel,H0BU4RTM,PROD7873,2023-12-08,2,121.6,Nebraska,2023-12,2023
Adidas,Ultraboost 21,Footwear,Z0APOEMB,PROD1566,2023-05-23,2,351.68,South Carolina,2023-05,2023
Adidas,NMD_R1,Footwear,XN0UZJIW,PROD7591,2023-03-18,5,442.14,Nevada,2023-03,2023
Adidas,NMD_R1,Apparel,QUZZGDZT,PROD1186,2023-10-20,4,1068.58,Connecticut,2023-10,2023
Adidas,Gazelle,Accessories,SYQ1I9BW,PROD4192,2023-08-19,4,791.63,Alabama,2023-08,2023
Nike,ZoomX Vaporfly,Equipment,CITYJUSZ,PROD3322,2023-05-17,1,60.5,Vermont,2023-05,2023
Adidas,Superstar,Equipment,02E56JZ8,PROD7058,2023-02-15,3,823.18,Indiana,2023-02,2023
Nike,Air Max 270,Equipment,WFUJBR1V,PROD1029,2023-05-16,5,314.89,Kentucky,2023-05,2023
